FLUSHSTAGES entries=272384 bytes=60269459 enc_ms=258.3 lz4_ms=123.8 bloom_ms=36.5 crc_ms=15.1 write_ms=37.8 lz4=true
FLUSHSTAGES entries=266 bytes=2797 enc_ms=6.0 lz4_ms=0.0 bloom_ms=0.0 crc_ms=0.0 write_ms=0.1 lz4=true
FLUSHSTAGES entries=1 bytes=126 enc_ms=6.8 lz4_ms=0.0 bloom_ms=0.0 crc_ms=0.0 write_ms=210.3 lz4=false
FLUSHSTAGES entries=1 bytes=126 enc_ms=0.2 lz4_ms=0.0 bloom_ms=0.0 crc_ms=0.0 write_ms=2.6 lz4=false
FLUSHSTAGES entries=318464 bytes=70465137 enc_ms=271.7 lz4_ms=132.5 bloom_ms=45.1 crc_ms=18.3 write_ms=46.1 lz4=true
FLUSHSTAGES entries=311 bytes=3248 enc_ms=6.1 lz4_ms=0.0 bloom_ms=0.0 crc_ms=0.0 write_ms=0.1 lz4=true
FLUSHSTAGES entries=272384 bytes=60269518 enc_ms=204.3 lz4_ms=93.7 bloom_ms=36.1 crc_ms=14.3 write_ms=42.3 lz4=true
FLUSHSTAGES entries=266 bytes=2796 enc_ms=7.8 lz4_ms=0.0 bloom_ms=0.0 crc_ms=0.0 write_ms=0.1 lz4=true
FLUSHSTAGES entries=272384 bytes=60269375 enc_ms=216.7 lz4_ms=103.8 bloom_ms=40.9 crc_ms=18.0 write_ms=42.8 lz4=true
FLUSHSTAGES entries=266 bytes=2796 enc_ms=4.9 lz4_ms=0.0 bloom_ms=0.0 crc_ms=0.0 write_ms=0.1 lz4=true
FLUSHSTAGES entries=272384 bytes=60269512 enc_ms=183.1 lz4_ms=84.3 bloom_ms=35.5 crc_ms=14.9 write_ms=45.8 lz4=true
FLUSHSTAGES entries=266 bytes=2797 enc_ms=5.0 lz4_ms=0.0 bloom_ms=0.0 crc_ms=0.0 write_ms=0.1 lz4=true
FLUSHSTAGES entries=1 bytes=126 enc_ms=0.3 lz4_ms=0.0 bloom_ms=0.0 crc_ms=0.0 write_ms=211.3 lz4=false
FLUSHSTAGES entries=1 bytes=126 enc_ms=0.3 lz4_ms=0.0 bloom_ms=0.0 crc_ms=0.0 write_ms=1.9 lz4=false
FLUSHSTAGES entries=302080 bytes=66840123 enc_ms=195.1 lz4_ms=86.7 bloom_ms=39.6 crc_ms=16.0 write_ms=39.7 lz4=true
FLUSHSTAGES entries=295 bytes=3091 enc_ms=5.9 lz4_ms=0.0 bloom_ms=0.0 crc_ms=0.0 write_ms=0.1 lz4=true
FLUSHSTAGES entries=274432 bytes=60722602 enc_ms=169.8 lz4_ms=77.6 bloom_ms=35.9 crc_ms=14.4 write_ms=41.4 lz4=true
